========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 1426 words (Chuẩn: 16 + 256 + 1152 + 2 = 1426)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 179  | Hex: 0000FE03 | Flt: 10 Ch: 3  | (No Threshold)                | W_9b: 000000011
Addr 180  | Hex: 0000FE9B | Flt: 10 Ch: 4  | (No Threshold)                | W_9b: 010011011
Addr 181  | Hex: 0000FE57 | Flt: 10 Ch: 5  | (No Threshold)                | W_9b: 001010111
Addr 182  | Hex: 0000FE83 | Flt: 10 Ch: 6  | (No Threshold)                | W_9b: 010000011
Addr 183  | Hex: 0000FE88 | Flt: 10 Ch: 7  | (No Threshold)                | W_9b: 010001000
Addr 184  | Hex: 0000FEC9 | Flt: 10 Ch: 8  | (No Threshold)                | W_9b: 011001001
Addr 185  | Hex: 0000FE7E | Flt: 10 Ch: 9  | (No Threshold)                | W_9b: 001111110
Addr 186  | Hex: 0000FE01 | Flt: 10 Ch: 10 | (No Threshold)                | W_9b: 000000001
Addr 187  | Hex: 0000FFDB | Flt: 10 Ch: 11 | (No Threshold)                | W_9b: 111011011
Addr 188  | Hex: 0000FF66 | Flt: 10 Ch: 12 | (No Threshold)                | W_9b: 101100110
Addr 189  | Hex: 0000FE44 | Flt: 10 Ch: 13 | (No Threshold)                | W_9b: 001000100
Addr 190  | Hex: 0000FE4E | Flt: 10 Ch: 14 | (No Threshold)                | W_9b: 001001110
Addr 191  | Hex: 574A80C8 | Flt: 10 Ch: 15 | Pol: 1 | Pos_Th: 74  | Neg_Th: 87  | W_9b: 011001000
Addr 192  | Hex: 0000FFA8 | Flt: 11 Ch: 0  | (No Threshold)                | W_9b: 110101000
Addr 193  | Hex: 0000FF78 | Flt: 11 Ch: 1  | (No Threshold)                | W_9b: 101111000
Addr 194  | Hex: 0000FFA7 | Flt: 11 Ch: 2  | (No Threshold)                | W_9b: 110100111
Addr 195  | Hex: 0000FE73 | Flt: 11 Ch: 3  | (No Threshold)                | W_9b: 001110011
Addr 196  | Hex: 0000FFC8 | Flt: 11 Ch: 4  | (No Threshold)                | W_9b: 111001000
Addr 197  | Hex: 0000FED4 | Flt: 11 Ch: 5  | (No Threshold)                | W_9b: 011010100
Addr 198  | Hex: 0000FE6A | Flt: 11 Ch: 6  | (No Threshold)                | W_9b: 001101010
Addr 199  | Hex: 0000FFEA | Flt: 11 Ch: 7  | (No Threshold)                | W_9b: 111101010
Addr 200  | Hex: 0000FE70 | Flt: 11 Ch: 8  | (No Threshold)                | W_9b: 001110000
Addr 201  | Hex: 0000FE87 | Flt: 11 Ch: 9  | (No Threshold)                | W_9b: 010000111
